fighter_id,result,opponent,opponent_id,event,date,method,round,time
http://ufcstats.com/fighter-details/59a9d6dac61c2540,loss,Nariman Abbasov Ismael Bonfim,,"DWCS 6.7 Sep. 06, 2022",2022-09-06,U-DEC,3,5:00
http://ufcstats.com/fighter-details/93fe7332d16c6ad9,loss,Tom Aaron Matt Ricehouse,,"Strikeforce - Henderson vs. Babalu Dec. 04, 2010",2010-12-04,U-DEC,3,5:00
http://ufcstats.com/fighter-details/93fe7332d16c6ad9,win,Tom Aaron Eric Steenberg,,"Strikeforce - Heavy Artillery May. 15, 2010",,SUB Guillotine Choke,1,0:56
http://ufcstats.com/fighter-details/15df64c02b6b0fde,loss,Danny Abbadi Jorge Gurgel,,"UFC 63: Hughes vs Penn Sep. 23, 2006",2006-09-23,S-DEC,3,5:00
http://ufcstats.com/fighter-details/15df64c02b6b0fde,loss,Danny Abbadi Kalib Starnes,,"The Ultimate Fighter: Team Ortiz vs. Team Shamrock Finale Jun. 24, 2006",2006-06-24,SUB Rear Naked Choke,1,2:56
http://ufcstats.com/fighter-details/b361180739bed4b0,loss,David Abbott Kevin Ferguson,,"EliteXC - Street Certified Feb. 16, 2008",2008-02-16,KO/TKO Punches,1,0:43
http://ufcstats.com/fighter-details/b361180739bed4b0,loss,David Abbott Paul Buentello,,"Strikeforce - Tank vs. Buentello Oct. 07, 2006",2006-10-07,KO/TKO Punch,1,0:43
http://ufcstats.com/fighter-details/b361180739bed4b0,loss,David Abbott Hidehiko Yoshida,,"PRIDE Final Conflict 2005 Aug. 28, 2005",2005-08-28,SUB Gi Choke,1,7:40
http://ufcstats.com/fighter-details/b361180739bed4b0,loss,David Abbott Wesley Correira,,"UFC 45: Revolution Nov. 21, 2003",2003-11-21,KO/TKO,1,2:14
http://ufcstats.com/fighter-details/b361180739bed4b0,loss,David Abbott Kimo Leopoldo,,"UFC 43: Meltdown Jun. 06, 2003",2003-06-06,SUB Arm Triangle,1,1:59
http://ufcstats.com/fighter-details/b361180739bed4b0,loss,David Abbott Frank Mir,,"UFC 41: Onslaught Feb. 28, 2003",2003-02-28,SUB Toe Hold,1,0:46
http://ufcstats.com/fighter-details/b361180739bed4b0,loss,David Abbott Pedro Rizzo,,"UFC - Ultimate Brazil Oct. 16, 1998",1998-10-16,KO/TKO Punch,1,8:07
http://ufcstats.com/fighter-details/b361180739bed4b0,win,David Abbott Hugo Duarte,,"UFC 17: Redemption May. 15, 1998",,KO/TKO Punches,1,0:43
http://ufcstats.com/fighter-details/b361180739bed4b0,win,David Abbott Yoji Anjo,,"UFC - Ultimate Japan Dec. 21, 1997",1997-12-21,U-DEC,2,3:00
http://ufcstats.com/fighter-details/b361180739bed4b0,loss,David Abbott Maurice Smith,,"UFC 15: Collision Course Oct. 17, 1997",1997-10-17,SUB Other,1,8:08
http://ufcstats.com/fighter-details/b361180739bed4b0,loss,David Abbott Vitor Belfort,,"UFC 13: The Ultimate Force May. 30, 1997",,KO/TKO Punches,1,0:52
http://ufcstats.com/fighter-details/b361180739bed4b0,loss,David Abbott Don Frye,,"UFC - Ultimate Ultimate '96 Dec. 07, 1996",1996-12-07,SUB Rear Naked Choke,1,1:22
http://ufcstats.com/fighter-details/b361180739bed4b0,win,David Abbott Steve Nelmark,,"UFC - Ultimate Ultimate '96 Dec. 07, 1996",1996-12-07,KO/TKO Punch,1,1:03
http://ufcstats.com/fighter-details/b361180739bed4b0,win,David Abbott Cal Worsham,,"UFC - Ultimate Ultimate '96 Dec. 07, 1996",1996-12-07,KO/TKO Punches,1,2:51
http://ufcstats.com/fighter-details/b361180739bed4b0,loss,David Abbott Scott Ferrozzo,,"UFC 11: The Proving Ground Sep. 20, 1996",1996-09-20,U-DEC,2,3:00
http://ufcstats.com/fighter-details/b361180739bed4b0,win,David Abbott Sam Adkins,,"UFC 11: The Proving Ground Sep. 20, 1996",1996-09-20,SUB Forearm Choke,1,2:06
http://ufcstats.com/fighter-details/b361180739bed4b0,loss,David Abbott Dan Severn,,"UFC - Ultimate Ultimate '95 Dec. 16, 1995",1995-12-16,U-DEC,1,18:00
http://ufcstats.com/fighter-details/b361180739bed4b0,win,David Abbott Steve Jennum,,"UFC - Ultimate Ultimate '95 Dec. 16, 1995",1995-12-16,SUB Neck Crank,1,1:14
http://ufcstats.com/fighter-details/b361180739bed4b0,loss,David Abbott Oleg Taktarov,,"UFC 6: Clash of the Titans Jul. 14, 1995",1995-07-14,SUB Rear Naked Choke,1,17:45
http://ufcstats.com/fighter-details/b361180739bed4b0,win,David Abbott Paul Varelans,,"UFC 6: Clash of the Titans Jul. 14, 1995",1995-07-14,KO/TKO Punches,1,1:53
http://ufcstats.com/fighter-details/b361180739bed4b0,win,David Abbott John Matua,,"UFC 6: Clash of the Titans Jul. 14, 1995",1995-07-14,KO/TKO Punches,1,0:20
http://ufcstats.com/fighter-details/841695e02c99a521,win,Mansur Abdul-Malik Cody Brundage,,"UFC Fight Night: Usman vs. Buckley Jun. 14, 2025",2025-06-14,U-DEC,3,0:36
http://ufcstats.com/fighter-details/841695e02c99a521,win,Mansur Abdul-Malik Nick Klein,,"UFC Fight Night: Cejudo vs. Song Feb. 22, 2025",2025-02-22,KO/TKO Punches,2,3:24
http://ufcstats.com/fighter-details/841695e02c99a521,win,Mansur Abdul-Malik Dusko Todorovic,,"UFC Fight Night: Magny vs. Prates Nov. 09, 2024",2024-11-09,KO/TKO Punches,1,2:44
http://ufcstats.com/fighter-details/841695e02c99a521,win,Mansur Abdul-Malik Wes Schultz,,"DWCS 8.1 Aug. 13, 2024",2024-08-13,KO/TKO Elbows,2,3:55
http://ufcstats.com/fighter-details/3329d692aea4dc28,loss,Hamdy Abdelwahab Mohammed Usman,,"UFC Fight Night: Hill vs. Rountree Jr. Jun. 21, 2025",2025-06-21,U-DEC,3,5:00
http://ufcstats.com/fighter-details/3329d692aea4dc28,win,Hamdy Abdelwahab Jamal Pogues,,"UFC Fight Night: Adesanya vs. Imavov Feb. 01, 2025",2025-02-01,S-DEC,3,5:00
http://ufcstats.com/fighter-details/3329d692aea4dc28,nc,Hamdy Abdelwahab Don'Tale Mayes,,"UFC 277: Pena vs. Nunes 2 Jul. 30, 2022",2022-07-30,Overturned,3,5:00
http://ufcstats.com/fighter-details/c0ed7b208197e8de,draw,Hiroyuki Abe Naoki Matsushita,,"PRIDE Bushido 12 Aug. 27, 2006",2006-08-27,Other,2,5:00
http://ufcstats.com/fighter-details/c0ed7b208197e8de,loss,Hiroyuki Abe Luiz Firmino,,"PRIDE Bushido 4 Jul. 19, 2004",2004-07-19,SUB Arm Triangle,1,2:52
http://ufcstats.com/fighter-details/2f5cbecbbe18bac4,loss,Shamil Abdurakhimov Jailton Almeida,,"UFC 283: Teixeira vs. Hill Jan. 21, 2023",2023-01-21,KO/TKO Punches,2,2:56
http://ufcstats.com/fighter-details/2f5cbecbbe18bac4,loss,Shamil Abdurakhimov Sergei Pavlovich,,"UFC Fight Night: Volkov vs. Aspinall Mar. 19, 2022",2022-03-19,KO/TKO Punches,1,4:03
http://ufcstats.com/fighter-details/2f5cbecbbe18bac4,loss,Shamil Abdurakhimov Chris Daukaus,,"UFC 266: Volkanovski vs. Ortega Sep. 25, 2021",2021-09-25,KO/TKO Punch,2,1:23
http://ufcstats.com/fighter-details/2f5cbecbbe18bac4,loss,Shamil Abdurakhimov Curtis Blaydes,,"UFC 242: Khabib vs. Poirier Sep. 07, 2019",2019-09-07,KO/TKO Elbow,2,2:22
http://ufcstats.com/fighter-details/2f5cbecbbe18bac4,win,Shamil Abdurakhimov Marcin Tybura,,"UFC Fight Night: Overeem vs. Oleinik Apr. 20, 2019",2019-04-20,KO/TKO Punches,2,3:15
http://ufcstats.com/fighter-details/2f5cbecbbe18bac4,win,Shamil Abdurakhimov Andrei Arlovski,,"UFC Fight Night: Hunt vs. Oleinik Sep. 15, 2018",2018-09-15,U-DEC,3,5:00
http://ufcstats.com/fighter-details/2f5cbecbbe18bac4,win,Shamil Abdurakhimov Chase Sherman,,"UFC Fight Night: Bisping vs. Gastelum Nov. 25, 2017",2017-11-25,KO/TKO Punches,1,1:24
http://ufcstats.com/fighter-details/2f5cbecbbe18bac4,loss,Shamil Abdurakhimov Derrick Lewis,,"UFC Fight Night: Lewis vs. Abdurakhimov Dec. 09, 2016",2016-12-09,KO/TKO Punches,4,3:42
http://ufcstats.com/fighter-details/2f5cbecbbe18bac4,win,Shamil Abdurakhimov Walt Harris,,"UFC Fight Night: Lineker vs. Dodson Oct. 01, 2016",2016-10-01,S-DEC,3,5:00
http://ufcstats.com/fighter-details/2f5cbecbbe18bac4,win,Shamil Abdurakhimov Anthony Hamilton,,"UFC Fight Night: Cowboy vs Cowboy Feb. 21, 2016",2016-02-21,U-DEC,3,5:00
http://ufcstats.com/fighter-details/2f5cbecbbe18bac4,loss,Shamil Abdurakhimov Timothy Johnson,,"UFC Fight Night: Mendes vs Lamas Apr. 04, 2015",2015-04-04,KO/TKO Punches,1,4:57
http://ufcstats.com/fighter-details/5140122c3eecd307,loss,Daichi Abe Li Jingliang,,"UFC Fight Night: Cowboy vs. Edwards Jun. 23, 2018",2018-06-23,U-DEC,3,5:00
http://ufcstats.com/fighter-details/5140122c3eecd307,loss,Daichi Abe Luke Jumeau,,"UFC 221: Romero vs. Rockhold Feb. 10, 2018",2018-02-10,U-DEC,3,5:00
http://ufcstats.com/fighter-details/5140122c3eecd307,win,Daichi Abe Hyun Gyu Lim,,"UFC Fight Night: Saint Preux vs. Okami Sep. 22, 2017",2017-09-22,U-DEC,3,5:00
http://ufcstats.com/fighter-details/aa6e591c2a2cdecd,loss,Ricardo Abreu Jake Collier,,"UFC Fight Night: Boetsch vs Henderson Jun. 06, 2015",2015-06-06,S-DEC,3,5:00
http://ufcstats.com/fighter-details/aa6e591c2a2cdecd,win,Ricardo Abreu Wagner Silva,,"UFC Fight Night: Miocic vs Maldonado May. 31, 2014",,SUB Rear Naked Choke,2,1:06
http://ufcstats.com/fighter-details/c9f6385af6df66d7,loss,Papy Abedi Dylan Andrews,,"UFC Fight Night: Condit vs Kampmann 2 Aug. 28, 2013",2013-08-28,KO/TKO Punch,3,1:32
http://ufcstats.com/fighter-details/c9f6385af6df66d7,win,Papy Abedi Besam Yousef,,"UFC on FUEL TV: Mousasi vs Latifi Apr. 06, 2013",2013-04-06,S-DEC,3,5:00
http://ufcstats.com/fighter-details/c9f6385af6df66d7,loss,Papy Abedi James Head,,"UFC on FUEL TV: Gustafsson vs Silva Apr. 14, 2012",2012-04-14,SUB Rear Naked Choke,1,4:33
http://ufcstats.com/fighter-details/c9f6385af6df66d7,loss,Papy Abedi Thiago Alves,,"UFC 138: Leben vs Munoz Nov. 05, 2011",2011-11-05,SUB Rear Naked Choke,1,3:32
http://ufcstats.com/fighter-details/989b85f6540c86b1,loss,John Adajar HanSeul Kim,,"Road to UFC 1.4 Jun. 10, 2022",2022-06-10,SUB Triangle Armbar,1,4:37
http://ufcstats.com/fighter-details/1c5879330d42255f,loss,Daniel Acacio Rousimar Palhares,,"Fury FC 5: Final Conflict Dec. 06, 2007",2007-12-06,SUB Heel Hook,1,1:22
http://ufcstats.com/fighter-details/1c5879330d42255f,loss,Daniel Acacio Akihiro Gono,,"PRIDE Bushido 9: The Tournament Sep. 25, 2005",2005-09-25,U-DEC,2,5:00
http://ufcstats.com/fighter-details/1c5879330d42255f,win,Daniel Acacio Kazuo Misaki,,"PRIDE Bushido 8 Jul. 17, 2005",2005-07-17,U-DEC,2,5:00
http://ufcstats.com/fighter-details/1c5879330d42255f,win,Daniel Acacio Daiju Takase,,"PRIDE Bushido 6 Apr. 03, 2005",2005-04-03,KO/TKO,2,3:34
http://ufcstats.com/fighter-details/7279654c7674cd24,nc,Klidson Abreu Jamahal Hill,,"UFC Fight Night: Woodley vs. Burns May. 30, 2020",,Overturned Knee,1,1:51
http://ufcstats.com/fighter-details/7279654c7674cd24,loss,Klidson Abreu Shamil Gamzatov,,"UFC Fight Night: Zabit vs. Kattar Nov. 09, 2019",2019-11-09,S-DEC,3,5:00
http://ufcstats.com/fighter-details/7279654c7674cd24,win,Klidson Abreu Sam Alvey,,"UFC Fight Night: Dos Anjos vs. Edwards Jul. 20, 2019",2019-07-20,U-DEC,3,5:00
http://ufcstats.com/fighter-details/7279654c7674cd24,loss,Klidson Abreu Magomed Ankalaev,,"UFC Fight Night: Blachowicz vs. Santos Feb. 23, 2019",2019-02-23,U-DEC,3,5:00
http://ufcstats.com/fighter-details/83b00f7597e5ac83,loss,Juan Adams Justin Tafa,,"UFC 247: Jones vs. Reyes Feb. 08, 2020",2020-02-08,KO/TKO Punch,1,1:59
http://ufcstats.com/fighter-details/83b00f7597e5ac83,loss,Juan Adams Greg Hardy,,"UFC Fight Night: Dos Anjos vs. Edwards Jul. 20, 2019",2019-07-20,KO/TKO Punches,1,0:45
http://ufcstats.com/fighter-details/83b00f7597e5ac83,loss,Juan Adams Arjan Bhullar,,"UFC Fight Night: Iaquinta vs. Cowboy May. 04, 2019",,U-DEC,3,5:00
http://ufcstats.com/fighter-details/83b00f7597e5ac83,win,Juan Adams Chris de la Rocha,,"UFC Fight Night: Lee vs. Iaquinta Dec. 15, 2018",2018-12-15,KO/TKO Knee,3,0:58
http://ufcstats.com/fighter-details/83b00f7597e5ac83,win,Juan Adams Shawn Teed,,"DWCS 2.7 Jul. 31, 2018",2018-07-31,KO/TKO Punches,1,4:17
http://ufcstats.com/fighter-details/2620f3eb21c79614,win,Scott Adams Ian Freeman,,"UFC 24: First Defense Mar. 10, 2000",2000-03-10,SUB Heel Hook,1,3:09
http://ufcstats.com/fighter-details/a77633a989013265,loss,Anthony Adams Impa Kasanganay,,"DWCS 4.2 Aug. 11, 2020",2020-08-11,U-DEC,3,5:00
http://ufcstats.com/fighter-details/a77633a989013265,loss,Anthony Adams Chibwikem Onyenegecha,,"DWCS 2.5 Jul. 17, 2018",2018-07-17,S-DEC,3,5:00
http://ufcstats.com/fighter-details/79cb2a690b9ba5e8,loss,Zarrukh Adashev Ode Osbourne,,"UFC Fight Night: Volkov vs. Rozenstruik Jun. 04, 2022",2022-06-04,KO/TKO Punch,1,1:01
http://ufcstats.com/fighter-details/79cb2a690b9ba5e8,win,Zarrukh Adashev Ryan Benoit,,"UFC Fight Night: Hall vs. Strickland Jul. 31, 2021",2021-07-31,U-DEC,3,5:00
http://ufcstats.com/fighter-details/79cb2a690b9ba5e8,loss,Zarrukh Adashev Sumudaerji,,"UFC Fight Night: Chiesa vs. Magny Jan. 20, 2021",2021-01-20,U-DEC,3,5:00
http://ufcstats.com/fighter-details/79cb2a690b9ba5e8,loss,Zarrukh Adashev Tyson Nam,,"UFC Fight Night: Eye vs. Calvillo Jun. 13, 2020",2020-06-13,KO/TKO Punch,1,0:32
http://ufcstats.com/fighter-details/7a846fcbf182a7c8,loss,Mohamed Ado Jonathan Micallef,,"DWCS 8.10 Oct. 15, 2024",2024-10-15,SUB Triangle Choke,1,3:01
http://ufcstats.com/fighter-details/ebc5af72ad5a28cb,loss,Nick Agallar Yves Edwards,,"UFC 45: Revolution Nov. 21, 2003",2003-11-21,KO/TKO Punch,2,2:14
http://ufcstats.com/fighter-details/0e9869d712e81f8f,loss,Sam Adkins David Abbott,,"UFC 11: The Proving Ground Sep. 20, 1996",1996-09-20,SUB Forearm Choke,1,2:06
http://ufcstats.com/fighter-details/0e9869d712e81f8f,win,Sam Adkins Felix Lee Mitchell,,"UFC 10: The Tournament Jul. 12, 1996",1996-07-12,U-DEC,2,3:00
http://ufcstats.com/fighter-details/0e9869d712e81f8f,loss,Sam Adkins Don Frye,,"UFC 8: David vs Goliath Feb. 16, 1996",1996-02-16,KO/TKO,1,0:48
http://ufcstats.com/fighter-details/0e9869d712e81f8f,win,Sam Adkins Keith Mielke,,"UFC 8: David vs Goliath Feb. 16, 1996",1996-02-16,KO/TKO Punches,1,0:50
http://ufcstats.com/fighter-details/1338e2c7480bdf9e,loss,Israel Adesanya Nassourdine Imavov,,"UFC Fight Night: Adesanya vs. Imavov Feb. 01, 2025",2025-02-01,KO/TKO Punch,2,0:30
http://ufcstats.com/fighter-details/1338e2c7480bdf9e,loss,Israel Adesanya Dricus Du Plessis,,"UFC 305: Du Plessis vs. Adesanya Aug. 17, 2024",2024-08-17,SUB Rear Naked Choke,4,3:38
http://ufcstats.com/fighter-details/1338e2c7480bdf9e,loss,Israel Adesanya Sean Strickland,,"UFC 293: Adesanya vs. Strickland Sep. 09, 2023",2023-09-09,U-DEC,5,5:00
http://ufcstats.com/fighter-details/1338e2c7480bdf9e,win,Israel Adesanya Alex Pereira,,"UFC 287: Pereira vs. Adesanya 2 Apr. 08, 2023",2023-04-08,KO/TKO Punch,2,4:21
http://ufcstats.com/fighter-details/1338e2c7480bdf9e,loss,Israel Adesanya Alex Pereira,,"UFC 281: Adesanya vs. Pereira Nov. 12, 2022",2022-11-12,KO/TKO Punches,5,2:01
http://ufcstats.com/fighter-details/1338e2c7480bdf9e,win,Israel Adesanya Jared Cannonier,,"UFC 276: Adesanya vs. Cannonier Jul. 02, 2022",2022-07-02,U-DEC,5,5:00
http://ufcstats.com/fighter-details/1338e2c7480bdf9e,win,Israel Adesanya Robert Whittaker,,"UFC 271: Adesanya vs. Whittaker 2 Feb. 12, 2022",2022-02-12,U-DEC,5,5:00
http://ufcstats.com/fighter-details/1338e2c7480bdf9e,win,Israel Adesanya Marvin Vettori,,"UFC 263: Adesanya vs. Vettori 2 Jun. 12, 2021",2021-06-12,U-DEC,5,5:00
http://ufcstats.com/fighter-details/1338e2c7480bdf9e,loss,Israel Adesanya Jan Blachowicz,,"UFC 259: Blachowicz vs. Adesanya Mar. 06, 2021",2021-03-06,U-DEC,5,5:00
http://ufcstats.com/fighter-details/1338e2c7480bdf9e,win,Israel Adesanya Paulo Costa,,"UFC 253: Adesanya vs. Costa Sep. 26, 2020",2020-09-26,KO/TKO Punch,2,3:59
http://ufcstats.com/fighter-details/1338e2c7480bdf9e,win,Israel Adesanya Yoel Romero,,"UFC 248: Adesanya vs. Romero Mar. 07, 2020",2020-03-07,U-DEC,5,5:00
http://ufcstats.com/fighter-details/1338e2c7480bdf9e,win,Israel Adesanya Robert Whittaker,,"UFC 243: Whittaker vs. Adesanya Oct. 05, 2019",2019-10-05,KO/TKO Punch,2,3:33
http://ufcstats.com/fighter-details/1338e2c7480bdf9e,win,Israel Adesanya Kelvin Gastelum,,"UFC 236: Holloway vs. Poirier 2 Apr. 13, 2019",2019-04-13,U-DEC,5,5:00
http://ufcstats.com/fighter-details/1338e2c7480bdf9e,win,Israel Adesanya Anderson Silva,,"UFC 234: Adesanya vs. Silva Feb. 09, 2019",2019-02-09,U-DEC,3,5:00
http://ufcstats.com/fighter-details/1338e2c7480bdf9e,win,Israel Adesanya Derek Brunson,,"UFC 230: Cormier vs. Lewis Nov. 03, 2018",2018-11-03,KO/TKO Punches,1,4:51
http://ufcstats.com/fighter-details/1338e2c7480bdf9e,win,Israel Adesanya Brad Tavares,,"The Ultimate Fighter: Undefeated Finale Jul. 06, 2018",2018-07-06,U-DEC,5,5:00
http://ufcstats.com/fighter-details/1338e2c7480bdf9e,win,Israel Adesanya Marvin Vettori,,"UFC Fight Night: Poirier vs. Gaethje Apr. 14, 2018",2018-04-14,S-DEC,3,5:00
http://ufcstats.com/fighter-details/1338e2c7480bdf9e,win,Israel Adesanya Rob Wilkinson,,"UFC 221: Romero vs. Rockhold Feb. 10, 2018",2018-02-10,KO/TKO Punches,2,3:37
http://ufcstats.com/fighter-details/a08ddd04eaffd81d,loss,Mariya Agapova Luana Santos,,"UFC Fight Night: Namajunas vs. Cortez Jul. 13, 2024",2024-07-13,SUB Rear Naked Choke,1,3:27
http://ufcstats.com/fighter-details/a08ddd04eaffd81d,loss,Mariya Agapova Gillian Robertson,,"UFC Fight Night: Sandhagen vs. Song Sep. 17, 2022",2022-09-17,SUB Rear Naked Choke,2,2:19
http://ufcstats.com/fighter-details/a08ddd04eaffd81d,loss,Mariya Agapova Maryna Moroz,,"UFC 272: Covington vs. Masvidal Mar. 05, 2022",2022-03-05,SUB Arm Triangle,2,3:27
http://ufcstats.com/fighter-details/a08ddd04eaffd81d,win,Mariya Agapova Sabina Mazo,,"UFC Fight Night: Dern vs. Rodriguez Oct. 09, 2021",2021-10-09,SUB Rear Naked Choke,3,0:53
http://ufcstats.com/fighter-details/a08ddd04eaffd81d,loss,Mariya Agapova Shana Dobson,,"UFC Fight Night: Munhoz vs. Edgar Aug. 22, 2020",2020-08-22,KO/TKO Punches,2,1:38
http://ufcstats.com/fighter-details/a08ddd04eaffd81d,win,Mariya Agapova Hannah Cifers,,"UFC Fight Night: Eye vs. Calvillo Jun. 13, 2020",2020-06-13,SUB Rear Naked Choke,1,2:42
http://ufcstats.com/fighter-details/a08ddd04eaffd81d,loss,Mariya Agapova Tracy Cortez,,"DWCS 3.6 Jul. 30, 2019",2019-07-30,U-DEC,3,5:00
http://ufcstats.com/fighter-details/44aa652b181bcf68,loss,Marcelo Aguiar Matt Hughes,,"UFC 26: Ultimate Field Of Dreams Jun. 09, 2000",2000-06-09,KO/TKO,1,4:34
http://ufcstats.com/fighter-details/6cadc0a0ba7dc015,loss,Edwin Aguilar Martin Kampmann,,"WFA - King of the Streets Jul. 22, 2006",2006-07-22,KO/TKO,1,2:43
http://ufcstats.com/fighter-details/cf946e03ba2e7666,loss,Kevin Aguilar Tucker Lutz,,"UFC 262: Oliveira vs. Chandler May. 15, 2021",,U-DEC,3,5:00
http://ufcstats.com/fighter-details/cf946e03ba2e7666,loss,Kevin Aguilar Charles Rosa,,"UFC Fight Night: Eye vs. Calvillo Jun. 13, 2020",2020-06-13,S-DEC,3,5:00
http://ufcstats.com/fighter-details/cf946e03ba2e7666,loss,Kevin Aguilar Zubaira Tukhugov,,"UFC Fight Night: Felder vs. Hooker Feb. 22, 2020",2020-02-22,KO/TKO Punches,1,3:21
http://ufcstats.com/fighter-details/cf946e03ba2e7666,loss,Kevin Aguilar Dan Ige,,"UFC Fight Night: Moicano vs. The Korean Zombie Jun. 22, 2019",2019-06-22,U-DEC,3,5:00
http://ufcstats.com/fighter-details/cf946e03ba2e7666,win,Kevin Aguilar Enrique Barzola,,"UFC Fight Night: Barboza vs. Gaethje Mar. 30, 2019",2019-03-30,U-DEC,3,5:00
http://ufcstats.com/fighter-details/cf946e03ba2e7666,win,Kevin Aguilar Ricky Glenn,,"The Ultimate Fighter: Heavy Hitters Finale Nov. 30, 2018",2018-11-30,U-DEC,3,5:00
http://ufcstats.com/fighter-details/cf946e03ba2e7666,win,Kevin Aguilar Joey Gomez,,"DWCS 2.4 Jul. 10, 2018",2018-07-10,S-DEC,3,5:00
http://ufcstats.com/fighter-details/8f382b3baa954d2a,loss,Jessica Aguilar Marina Rodriguez,,"UFC Fight Night: Barboza vs. Gaethje Mar. 30, 2019",2019-03-30,U-DEC,3,5:00
http://ufcstats.com/fighter-details/8f382b3baa954d2a,loss,Jessica Aguilar Zhang Weili,,"UFC Fight Night: Blaydes vs. Ngannou 2 Nov. 24, 2018",2018-11-24,SUB Armbar,1,3:41
http://ufcstats.com/fighter-details/8f382b3baa954d2a,win,Jessica Aguilar Jodie Esquibel,,"UFC Fight Night: Dos Santos vs. Ivanov Jul. 14, 2018",2018-07-14,U-DEC,3,5:00
http://ufcstats.com/fighter-details/8f382b3baa954d2a,loss,Jessica Aguilar Cortney Casey,,"UFC 211: Miocic vs. Dos Santos May. 13, 2017",,U-DEC,3,5:00
http://ufcstats.com/fighter-details/8f382b3baa954d2a,loss,Jessica Aguilar Claudia Gadelha,,"UFC 190: Rousey vs Correia Aug. 01, 2015",2015-08-01,U-DEC,3,5:00
http://ufcstats.com/fighter-details/c051c2e12d692b8a,loss,Jesus Aguilar Rafael Estevam,,"UFC Fight Night: Cannonier vs. Rodrigues Feb. 15, 2025",2025-02-15,U-DEC,3,5:00
http://ufcstats.com/fighter-details/c051c2e12d692b8a,win,Jesus Aguilar Stewart Nicoll,,"UFC 305: Du Plessis vs. Adesanya Aug. 17, 2024",2024-08-17,SUB Guillotine Choke,1,2:39
http://ufcstats.com/fighter-details/c051c2e12d692b8a,win,Jesus Aguilar Mateus Mendonca,,"UFC Fight Night: Moreno vs. Royval 2 Feb. 24, 2024",2024-02-24,S-DEC,3,5:00
http://ufcstats.com/fighter-details/c051c2e12d692b8a,win,Jesus Aguilar Shannon Ross,,"UFC 290: Volkanovski vs. Rodriguez Jul. 08, 2023",2023-07-08,KO/TKO Punch,1,0:17
http://ufcstats.com/fighter-details/c051c2e12d692b8a,loss,Jesus Aguilar Tatsuro Taira,,"UFC Fight Night: Lewis vs. Spivac Feb. 04, 2023",2023-02-04,SUB Triangle Armbar,1,4:20
http://ufcstats.com/fighter-details/c051c2e12d692b8a,win,Jesus Aguilar Erisson Ferreira,,"DWCS 6.5 Aug. 23, 2022",2022-08-23,SUB Guillotine Choke,3,1:56
http://ufcstats.com/fighter-details/ae071698e1a3ccd4,loss,Christian Aguilera Carlston Harris,,"UFC Fight Night: Rodriguez vs. Waterson May. 08, 2021",,SUB Anaconda Choke,1,2:52
http://ufcstats.com/fighter-details/ae071698e1a3ccd4,loss,Christian Aguilera Sean Brady,,"UFC Fight Night: Smith vs. Rakic Aug. 29, 2020",2020-08-29,SUB Guillotine Choke,2,1:47
http://ufcstats.com/fighter-details/ae071698e1a3ccd4,win,Christian Aguilera Anthony Ivy,,"UFC Fight Night: Eye vs. Calvillo Jun. 13, 2020",2020-06-13,KO/TKO Punches,1,0:59
http://ufcstats.com/fighter-details/0978385b2bd9ef9b,loss,Nick Aguirre Payton Talbott,,"UFC Fight Night: Allen vs. Craig Nov. 18, 2023",2023-11-18,SUB Rear Naked Choke,3,0:58
http://ufcstats.com/fighter-details/0978385b2bd9ef9b,loss,Nick Aguirre Dan Argueta,,"UFC Fight Night: Strickland vs. Imavov Jan. 14, 2023",2023-01-14,U-DEC,3,5:00
http://ufcstats.com/fighter-details/b2efa582adf73604,win,Agulali Mridul Saikia,,"Road to UFC 4.1 + 4.2 May. 22, 2025",,KO/TKO Punch,1,4:23
http://ufcstats.com/fighter-details/9e3dbb9c68ed5d1a,nc,Mike Aina Billy Evangelista,,"Strikeforce Challengers 1 May. 15, 2009",,Overturned,2,3:42
http://ufcstats.com/fighter-details/9e3dbb9c68ed5d1a,loss,Mike Aina Nick Diaz,,"EliteXC - Uprising Sep. 15, 2007",2007-09-15,S-DEC,3,5:00
http://ufcstats.com/fighter-details/2eada40ac8801559,loss,Hitomi Akano Sara McMann,,"ProElite 3: Da Spyder vs. Minowaman Jan. 21, 2012",2012-01-21,U-DEC,3,5:00
http://ufcstats.com/fighter-details/2eada40ac8801559,loss,Hitomi Akano Miesha Tate,,"Strikeforce Challengers 10 Aug. 13, 2010",2010-08-13,U-DEC,3,3:00
http://ufcstats.com/fighter-details/2eada40ac8801559,win,Hitomi Akano Carina Damm,,"Strikeforce Challengers 10 Aug. 13, 2010",2010-08-13,SUB Armbar,2,1:48
http://ufcstats.com/fighter-details/2eada40ac8801559,loss,Hitomi Akano Cristiane Justino,,"Strikeforce - Shamrock vs. Diaz Apr. 11, 2009",2009-04-11,KO/TKO Punches,3,0:35
http://ufcstats.com/fighter-details/49dea784f6cfed71,loss,Ashiek Ajim Mateus Mendonca,,"DWCS 6.10 Sep. 27, 2022",2022-09-27,KO/TKO Punch,1,0:48
http://ufcstats.com/fighter-details/16690d100f995f8f,loss,Omari Akhmedov Brad Tavares,,"UFC 264: Poirier vs. McGregor 3 Jul. 10, 2021",2021-07-10,S-DEC,3,5:00
